district,region,village,direction,elevator,floor,layout,decoration,year,size,price,perprice
锦江,水碾河,蜀都花园 ,东北,有,中楼层,3室2厅,简装,2016,111.0,180.0,16081
锦江,合江亭,银唐国际 ,南,有,低楼层,2室1厅,其他,2016,70.0,160.0,22647
锦江,卓锦城,海棠佳苑 ,西南,有,高楼层,2室1厅,精装,2016,59.0,120.0,20339
锦江,九眼桥,粼江峰阁 ,西南,有,低楼层,3室1厅,其他,2013,138.0,320.0,23189
锦江,川师,锦江国际花园 ,东南,有,低楼层,3室2厅,其他,2016,84.0,170.0,20217
锦江,三圣乡,锦江城市花园二期 ,东南,有,中楼层,2室1厅,其他,2013,46.0,85.0,18206
锦江,沙河堡,华宇广场 ,南,有,高楼层,2室1厅,其他,2013,50.0,90.0,18000
锦江,沙河堡,华宇广场 ,东南,有,高楼层,2室1厅,其他,2013,50.0,90.0,18000
锦江,川师,华润凯旋天地 ,南,有,高楼层,3室1厅,其他,2013,78.0,168.0,21435
锦江,合江亭,下莲池街8号 ,南,无,中楼层,3室2厅,简装,2013,104.0,185.0,17789
锦江,卓锦城,鑫苑名家一期 ,东南,有,低楼层,1室0厅,其他,2013,40.0,31.5,7746
